X,Y,OBJECTID,Event_Number,ReportedOn,Location,CSZ,Area_Command,Beat,OffenseGroup,NIBRSOffenseCode,VictimCount,Longitude,Latitude,DateDif
-115.087518,36.2167020000001,752,LLV220700058852,2022/07/15 15:30:00+00,3900 Block E CHEYENNE AVE,"Las Vegas, NV  89115",NEAC,F3,A,09C,1,-115.087518,36.2167020000001,448
-115.2401715,36.189693,883,LLV220100080186,2022/01/20 21:53:00+00,1600 Block CRISP PEAR CT,"Las Vegas, NV  89108",BAC,U1,A,09A,1,-115.2401715,36.189693,624
-115.143088391,36.1813288910001,2403,LLV230500150901,2023/05/30 15:46:24+00,1000 Block A St,"LAS VEGAS, NV  89106",DTAC,B1,A,09A,0,-115.143088391,36.1813288910001,129
-115.22501367,36.1176334,4326,LLV230800061061,2023/08/17 14:42:00+00,3925 S Jones Blvd,"LAS VEGAS, NV  89103",SVAC,P1,A,09A,3,-115.22501367,36.1176334,50
-115.176708,36.095967,6189,LLV230600133216,2023/06/29 10:18:51+00,3900 Block S LAS VEGAS BLVD,"LAS VEGAS, NV  89109",CCAC,M4,A,09A,1,-115.176708,36.095967,99
-115.1321624,36.10084068,6291,LLV221100098953,2022/11/26 17:34:12+00,1500 Block E Tropicana Ave,"LAS VEGAS, NV  89119",SCAC,N4,A,09A,0,-115.1321624,36.10084068,314
-115.17601225,36.1940665500001,6635,LLV220700065572,2022/07/17 03:56:32+00,2520 Perryville Ave,"LAS VEGAS, NV  89106",BAC,W2,A,09A,3,-115.17601225,36.1940665500001,447
-115.19406109,36.13521296,8501,LLV230100114854,2023/01/29 10:02:54+00,4000 Block Edgeford Pl,"LAS VEGAS, NV  89102",SVAC,P2,A,09A,0,-115.19406109,36.13521296,250
-115.069716,36.1913040000001,8609,LLV220800000549,2022/08/01 04:08:00+00,1700 Block MARION DR,"Las Vegas, NV  89115",NEAC,F1,A,09A,1,-115.069716,36.1913040000001,432
-115.309341,36.0743670000001,8723,LLV220800070416,2022/08/17 21:23:00+00,6200 Block WHITELION WALK ST,"LVN,  89148",SAC,R4,A,09A,1,-115.309341,36.0743670000001,415
-115.14984654,36.15897489,9215,LLV220800021323,2022/08/05 23:23:17+00,300 Block E Charleston Blvd,"LAS VEGAS, NV  89101",DTAC,C1,A,09C,1,-115.14984654,36.15897489,427
-115.1631225,36.1789380000001,9754,LLV220800033993,2022/08/09 01:54:00+00,1700 Block W BONANZA RD,"Las Vegas, NV  89106",BAC,W2,A,09A,0,-115.1631225,36.1789380000001,424
-115.2558045,36.1580760000001,12670,LLV221200110671,2022/12/28 19:44:00+00,7400 Block W CHARLESTON BLVD,"Las Vegas, NV  89117",SAC,V4,A,09A,0,-115.2558045,36.1580760000001,282
-115.06222002,36.2324377200001,13583,LLV230600009945,2023/06/03 01:14:11+00,3975 N Nellis Blvd,"LAS VEGAS, NV  89115",NEAC,F3,A,09A,1,-115.06222002,36.2324377200001,126
-115.22928247,36.1810121500001,16856,LLV221100010347,2022/11/03 15:35:17+00,900 Block Greystone Dr,"LAS VEGAS, NV  89108",BAC,U1,A,09A,0,-115.22928247,36.1810121500001,337
-115.13615438,36.18710752,20223,LLV220100002646,2022/01/01 14:49:20+00,1500 Block N Main St,"LAS VEGAS, NV  89101",DTAC,B1,A,09A,0,-115.13615438,36.18710752,643
-115.17243912,36.0235814500001,21228,LLV230300045824,2023/03/11 10:10:56+00,9145 S Las Vegas Blvd,"LAS VEGAS, NV  89123",EAC,S3,A,09A,0,-115.17243912,36.0235814500001,209
-115.09840295,36.1833908400001,21637,LLV220800024591,2022/08/06 19:00:06+00,1100 Block N Pecos Rd,"LAS VEGAS, NV  89101",NEAC,F1,A,09A,0,-115.09840295,36.1833908400001,426
-115.153398,36.1857420000001,21673,LLV230300050692,2023/03/12 13:50:59+00,1300 Block H ST,"Las Vegas, NV  89106",BAC,W4,A,09A,1,-115.153398,36.1857420000001,208
-115.24149686,36.1843171900001,21760,LLV221100074614,2022/11/20 14:28:26+00,1200 Block Nugget Creek Dr,"LAS VEGAS, NV  89108",BAC,U1,A,09C,0,-115.24149686,36.1843171900001,320
-115.11299775,36.1739381400001,22789,LLV220400019989,2022/04/05 14:27:15+00,2730 E Bonanza Rd,"LAS VEGAS, NV  89101",DTAC,B3,A,09A,1,-115.11299775,36.1739381400001,549
-115.156988912,36.179110984,26569,LLV220900053165,2022/09/13 18:43:59+00,800 Block Reed Pl,"Las Vegas, NV  89106",BAC,W4,A,09A,0,-115.156988912,36.179110984,388
-115.2210195,36.1966590000001,27490,LLV220400115650,2022/04/27 21:32:00+00,5800 Block W LAKE MEAD BLVD,"Las Vegas, NV  89108",NWAC,X2,A,09A,1,-115.2210195,36.1966590000001,527
-115.070355,36.230058,27732,LLV220400121930,2022/04/29 08:08:00+00,3900 Block N LAS VEGAS BLVD,"Las Vegas, NV  89115",NEAC,F3,A,09A,1,-115.070355,36.230058,525
-115.162821,36.1441800000001,28168,LLV230700031213,2023/07/07 17:04:26+00,300 Block W SAHARA AVE,"LAS VEGAS, NV  89102",DTAC,C2,A,09A,1,-115.162821,36.1441800000001,91
-115.138937151,36.171742647,28193,LLV230900092445,2023/09/27 01:00:33+00,300 Block N LAS VEGAS BLVD,"LAS VEGAS, NV  89101",DTAC,A4,A,09A,0,-115.138937151,36.171742647,10
-115.15098026,36.1531649200001,28458,LLV230900106874,2023/09/30 23:36:44+00,1500 Block S Las Vegas Blvd,"LAS VEGAS, NV  89104",DTAC,C3,A,09A,1,-115.15098026,36.1531649200001,6
-115.16553832,36.15893463,28881,LLV220600087501,2022/06/23 01:50:06+00,1800 Block W Charleston Blvd,"LAS VEGAS, NV  89106",BAC,U3,A,09A,0,-115.16553832,36.15893463,471
-115.15654424,36.1973961300001,29234,LLV221100098450,2022/11/26 15:24:34+00,1100 Block Hassell Ave,"LAS VEGAS, NV  89106",BAC,W3,A,09A,1,-115.15654424,36.1973961300001,314
-115.19875341,36.12621219,31054,LLV220900012252,2022/09/03 19:42:04+00,4300 Block Spring Mountain Rd,"LAS VEGAS, NV  89103",SVAC,P2,A,09A,0,-115.19875341,36.12621219,398
-115.10507395,36.11498177,34147,LLV220100002085,2022/01/01 11:26:58+00,3211 E Flamingo Rd,"LAS VEGAS, NV  89121",SCAC,L3,A,09A,1,-115.10507395,36.11498177,643
-115.3040227,36.11950647,34989,LLV220400044210,2022/04/11 06:05:21+00,9700 Block Newport Coast Cir,"LAS VEGAS, NV  89147",SAC,R2,A,09C,1,-115.3040227,36.11950647,544
-115.233921,36.050508,35203,LLV220300103498,2022/03/25 14:10:50+00,6400 Block BRIGHT NIMBUS AVE,"LAS VEGAS,  89139",EAC,O2,A,09A,1,-115.233921,36.050508,560
-115.08002706,36.1265050700001,35854,LLV221200007392,2022/12/02 19:19:12+00,4350 Boulder Hwy,"LAS VEGAS, NV  89121",SEAC,H2,A,09A,0,-115.08002706,36.1265050700001,308
-115.1262045,36.001071,35986,LLV221200058329,2022/12/15 10:04:00+00,3100 Block ST ROSE PKWY,"LAS VEGAS, NV  89183",EAC,S4,A,09A,0,-115.1262045,36.001071,295
-115.158924,36.1790370000001,36271,LLV230400115735,2023/04/25 23:26:09+00,M St & W McWilliams Ave,"Las Vegas, NV  89106",BAC,W4,A,09A,0,-115.158924,36.1790370000001,164
-115.16544547,36.1267193300001,36312,LLV221000021737,2022/10/06 11:42:43+00,3100 Block S Las Vegas Blvd,"LAS VEGAS, NV  89109",CCAC,M2,A,09A,0,-115.16544547,36.1267193300001,365
-115.16544547,36.1267193300001,36313,LLV221000021737,2022/10/06 11:42:43+00,3100 Block S Las Vegas Blvd,"LAS VEGAS, NV  89109",CCAC,M2,A,09A,0,-115.16544547,36.1267193300001,365
-114.663582,35.0684190000001,40421,LLV220600117037,2022/06/30 13:41:51+00,Aha Macav Pkwy & Needles Hwy,"Laughlin, NV  89028",RO,81,A,09A,0,-114.663582,35.0684190000001,463
-115.3280655,36.293841,40780,LLV220300029511,2022/03/07 21:58:00+00,10600 Block JAMESTOWN SQUARE AVE,"Las Vegas, NV  89166",NWAC,X5,A,09A,1,-115.3280655,36.293841,578
-115.130979,36.1742760000001,41011,LLV221100075886,2022/11/20 21:59:59+00,1100 Block E BONANZA RD,"Las Vegas, NV  89101",DTAC,B1,A,09A,1,-115.130979,36.1742760000001,320
-115.1670368,36.1771396500001,41734,LLV221200120910,2022/12/31 00:25:59+00,1700 Block W Bonanza Rd,"LAS VEGAS, NV  89106",BAC,W2,A,09A,1,-115.1670368,36.1771396500001,280
